date_profiled,tag_number,live_weight,breed,color,gender,teeth,checked_by_vet,vaccinated,district
2021.07.12,T51,219,Deshal,Black and Grey,Male,2,Yes,Yes,Tangail
2021.07.12,T50,215,Deshal,Black and White,Male,2,Yes,Yes,Tangail
2021.07.12,T38,293,Deshal,Red,Male,2,Yes,Yes,Tangail
2021.07.12,T37,246,Deshal,Black,Male,2,Yes,Yes,Tangail
2021.07.12,T36,251,Deshal,Black and Brown,Male,2,Yes,Yes,Tangail
2021.07.12,T35,181,Deshal,White,Male,2,Yes,Yes,Tangail
2021.07.12,T34,214,Deshal,Black and Brown,Male,2,Yes,Yes,Tangail
2021.07.10,N99,270,Deshal,Black and White,Male,2,Yes,Yes,Nilphamari
2021.07.10,N98,233,Deshal,Black,Male,2,Yes,Yes,Nilphamari
2021.07.10,N97,270,Deshal,Grey,Male,2,Yes,Yes,Nilphamari
2021.07.10,N96,228,Deshal,Black and Grey,Male,2,Yes,Yes,Nilphamari
2021.07.10,N95,252,Deshal,Black,Male,2,Yes,Yes,Nilphamari
2021.07.10,N94,195,Deshal,Black and Grey,Male,2,Yes,Yes,Nilphamari
2021.07.10,N93,245,Deshal,Red,Male,2,Yes,Yes,Nilphamari
2021.07.10,N91,199,Deshal,Black and Red,Male,2,Yes,Yes,Nilphamari
2021.07.10,N90,170,Deshal,Black and Red,Male,2,Yes,Yes,Nilphamari
2021.07.10,N89,155,Deshal,White,Male,2,Yes,Yes,Nilphamari
2021.07.10,N87,278,Deshal,Brown,Male,2,Yes,Yes,Nilphamari
2021.07.10,N86,186,Deshal,Brown,Male,2,Yes,Yes,Nilphamari
2021.07.10,N85,181,Deshal,Black and Grey,Male,2,Yes,Yes,Nilphamari
2021.07.10,N84,215,Deshal,Brown,Male,2,Yes,Yes,Nilphamari
2021.07.10,N83,183,Deshal,Brown,Male,2,Yes,Yes,Nilphamari
2021.07.10,N82,186,Deshal,Black and White,Male,2,Yes,Yes,Nilphamari
2021.07.10,N79,248,Deshal,Black and White,Male,2,Yes,Yes,Nilphamari
2021.07.10,N78,290,Deshal,Black and Red,Male,2,Yes,Yes,Nilphamari
2021.07.10,N77,256,Deshal,Black and Brown,Male,2,Yes,Yes,Nilphamari
2021.07.10,N65,182,Deshal,White,Male,2,Yes,Yes,Nilphamari
2021.07.10,N64,246,Deshal,Black and Red,Male,2,Yes,Yes,Nilphamari
2021.07.10,N102,295,Deshal,Black and Brown,Male,2,Yes,Yes,Nilphamari
2021.07.10,N101,295,Deshal,Red,Male,2,Yes,Yes,Nilphamari
